Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,Bangladesh,,0,0,0
2020-01-23,Bangladesh,,0,0,0
2020-01-24,Bangladesh,,0,0,0
2020-01-25,Bangladesh,,0,0,0
2020-01-26,Bangladesh,,0,0,0
2020-01-27,Bangladesh,,0,0,0
2020-01-28,Bangladesh,,0,0,0
2020-01-29,Bangladesh,,0,0,0
2020-01-30,Bangladesh,,0,0,0
2020-01-31,Bangladesh,,0,0,0
2020-02-01,Bangladesh,,0,0,0
2020-02-02,Bangladesh,,0,0,0
2020-02-03,Bangladesh,,0,0,0
2020-02-04,Bangladesh,,0,0,0
2020-02-05,Bangladesh,,0,0,0
2020-02-06,Bangladesh,,0,0,0
2020-02-07,Bangladesh,,0,0,0
2020-02-08,Bangladesh,,0,0,0
2020-02-09,Bangladesh,,0,0,0
2020-02-10,Bangladesh,,0,0,0
2020-02-11,Bangladesh,,0,0,0
2020-02-12,Bangladesh,,0,0,0
2020-02-13,Bangladesh,,0,0,0
2020-02-14,Bangladesh,,0,0,0
2020-02-15,Bangladesh,,0,0,0
2020-02-16,Bangladesh,,0,0,0
2020-02-17,Bangladesh,,0,0,0
2020-02-18,Bangladesh,,0,0,0
2020-02-19,Bangladesh,,0,0,0
2020-02-20,Bangladesh,,0,0,0
2020-02-21,Bangladesh,,0,0,0
2020-02-22,Bangladesh,,0,0,0
2020-02-23,Bangladesh,,0,0,0
2020-02-24,Bangladesh,,0,0,0
2020-02-25,Bangladesh,,0,0,0
2020-02-26,Bangladesh,,0,0,0
2020-02-27,Bangladesh,,0,0,0
2020-02-28,Bangladesh,,0,0,0
2020-02-29,Bangladesh,,0,0,0
2020-03-01,Bangladesh,,0,0,0
2020-03-02,Bangladesh,,0,0,0
2020-03-03,Bangladesh,,0,0,0
2020-03-04,Bangladesh,,0,0,0
2020-03-05,Bangladesh,,0,0,0
2020-03-06,Bangladesh,,0,0,0
2020-03-07,Bangladesh,,0,0,0
2020-03-08,Bangladesh,,3,0,0
2020-03-09,Bangladesh,,3,0,0
2020-03-10,Bangladesh,,3,0,0
2020-03-11,Bangladesh,,3,0,0
2020-03-12,Bangladesh,,3,0,0
2020-03-13,Bangladesh,,3,0,0
2020-03-14,Bangladesh,,3,0,0
2020-03-15,Bangladesh,,5,0,0
2020-03-16,Bangladesh,,8,2,0
2020-03-17,Bangladesh,,10,3,0
2020-03-18,Bangladesh,,14,3,1
2020-03-19,Bangladesh,,17,3,1
2020-03-20,Bangladesh,,20,3,1
2020-03-21,Bangladesh,,25,3,2
2020-03-22,Bangladesh,,27,3,2
2020-03-23,Bangladesh,,33,3,3
2020-03-24,Bangladesh,,39,5,4
2020-03-25,Bangladesh,,39,7,5
2020-03-26,Bangladesh,,44,11,5
2020-03-27,Bangladesh,,48,11,5
2020-03-28,Bangladesh,,48,15,5
2020-03-29,Bangladesh,,48,15,5
2020-03-30,Bangladesh,,49,19,5
2020-03-31,Bangladesh,,51,25,5
2020-04-01,Bangladesh,,54,25,6
2020-04-02,Bangladesh,,56,25,6
2020-04-03,Bangladesh,,61,26,6
2020-04-04,Bangladesh,,70,30,8
2020-04-05,Bangladesh,,88,33,9
2020-04-06,Bangladesh,,123,33,12
2020-04-07,Bangladesh,,164,33,17
2020-04-08,Bangladesh,,218,33,20
2020-04-09,Bangladesh,,330,33,21
2020-04-10,Bangladesh,,424,33,27
2020-04-11,Bangladesh,,482,36,30
2020-04-12,Bangladesh,,621,39,34
2020-04-13,Bangladesh,,803,42,39
2020-04-14,Bangladesh,,1012,42,46
2020-04-15,Bangladesh,,1231,49,50
2020-04-16,Bangladesh,,1572,49,60
2020-04-17,Bangladesh,,1838,58,75
2020-04-18,Bangladesh,,2144,66,84
2020-04-19,Bangladesh,,2456,75,91
2020-04-20,Bangladesh,,2948,85,101
2020-04-21,Bangladesh,,3382,87,110
2020-04-22,Bangladesh,,3772,92,120
2020-04-23,Bangladesh,,4186,108,127
2020-04-24,Bangladesh,,4689,112,131
2020-04-25,Bangladesh,,4998,113,140
2020-04-26,Bangladesh,,5416,122,145
2020-04-27,Bangladesh,,5913,131,152
2020-04-28,Bangladesh,,6462,139,155
2020-04-29,Bangladesh,,7103,150,163
2020-04-30,Bangladesh,,7667,160,168
2020-05-01,Bangladesh,,8238,174,170
2020-05-02,Bangladesh,,8790,177,175
2020-05-03,Bangladesh,,9455,1063,177
2020-05-04,Bangladesh,,10143,1209,182
2020-05-05,Bangladesh,,10929,1403,183
2020-05-06,Bangladesh,,11719,1403,186
2020-05-07,Bangladesh,,12425,1910,199
2020-05-08,Bangladesh,,13134,2101,206
2020-05-09,Bangladesh,,13770,2414,214
2020-05-10,Bangladesh,,14657,2650,228
2020-05-11,Bangladesh,,15691,2902,239
2020-05-12,Bangladesh,,16660,3147,250
2020-05-13,Bangladesh,,17822,3361,269
2020-05-14,Bangladesh,,18863,3361,283
2020-05-15,Bangladesh,,20065,3882,298
2020-05-16,Bangladesh,,20995,4117,314
2020-05-17,Bangladesh,,22268,4373,328
2020-05-18,Bangladesh,,23870,4585,349
2020-05-19,Bangladesh,,25121,4993,370
2020-05-20,Bangladesh,,26738,5207,386
2020-05-21,Bangladesh,,28511,5602,408
2020-05-22,Bangladesh,,30205,6190,432
2020-05-23,Bangladesh,,32078,6486,452
2020-05-24,Bangladesh,,33610,6901,480
2020-05-25,Bangladesh,,35585,7334,501
2020-05-26,Bangladesh,,36751,7579,522
2020-05-27,Bangladesh,,38292,7925,544
2020-05-28,Bangladesh,,40321,8425,559
2020-05-29,Bangladesh,,42844,9015,582
2020-05-30,Bangladesh,,44608,9375,610
2020-05-31,Bangladesh,,47153,9781,650
2020-06-01,Bangladesh,,49534,10597,672
2020-06-02,Bangladesh,,52445,11120,709
2020-06-03,Bangladesh,,55140,11590,746
2020-06-04,Bangladesh,,57563,12161,781
2020-06-05,Bangladesh,,60391,12804,811
2020-06-06,Bangladesh,,63026,13325,846
2020-06-07,Bangladesh,,65769,13903,888
2020-06-08,Bangladesh,,68504,14560,930
2020-06-09,Bangladesh,,71675,15337,975
2020-06-10,Bangladesh,,74865,15900,1012
2020-06-11,Bangladesh,,78052,16747,1049
2020-06-12,Bangladesh,,81523,17249,1095
2020-06-13,Bangladesh,,84379,17828,1139
2020-06-14,Bangladesh,,87520,18730,1171
2020-06-15,Bangladesh,,90619,18731,1209
2020-06-16,Bangladesh,,94481,36264,1262
2020-06-17,Bangladesh,,98489,38189,1305
2020-06-18,Bangladesh,,102292,40164,1343
2020-06-19,Bangladesh,,105535,42945,1388
2020-06-20,Bangladesh,,108775,43993,1425
2020-06-21,Bangladesh,,112306,45077,1464
2020-06-22,Bangladesh,,115786,46755,1502
2020-06-23,Bangladesh,,119198,47635,1545
2020-06-24,Bangladesh,,122660,49666,1582
2020-06-25,Bangladesh,,126606,51495,1621
2020-06-26,Bangladesh,,130474,53133,1661
2020-06-27,Bangladesh,,133978,54318,1695
2020-06-28,Bangladesh,,137787,55727,1738
2020-06-29,Bangladesh,,141801,57780,1783
2020-06-30,Bangladesh,,145483,59624,1847
2020-07-01,Bangladesh,,149258,62108,1888
2020-07-02,Bangladesh,,153277,66442,1926
2020-07-03,Bangladesh,,156391,68048,1968
2020-07-04,Bangladesh,,159679,70721,1997
2020-07-05,Bangladesh,,162417,72625,2052
2020-07-06,Bangladesh,,165618,76149,2096
2020-07-07,Bangladesh,,168645,78102,2151
2020-07-08,Bangladesh,,172134,80838,2197
2020-07-09,Bangladesh,,175494,84544,2238
2020-07-10,Bangladesh,,178443,86406,2275
2020-07-11,Bangladesh,,181129,88034,2305
2020-07-12,Bangladesh,,183795,93614,2352
2020-07-13,Bangladesh,,186894,98317,2391
2020-07-14,Bangladesh,,190057,103227,2424
2020-07-15,Bangladesh,,193590,105523,2457
2020-07-16,Bangladesh,,196323,106963,2496
2020-07-17,Bangladesh,,199357,108725,2547
2020-07-18,Bangladesh,,202066,110098,2581
2020-07-19,Bangladesh,,204525,111642,2618
2020-07-20,Bangladesh,,207453,113556,2668
2020-07-21,Bangladesh,,210510,115397,2709
2020-07-22,Bangladesh,,213254,117202,2751
2020-07-23,Bangladesh,,216110,119208,2801
2020-07-24,Bangladesh,,218658,120976,2836
2020-07-25,Bangladesh,,221178,122090,2874
2020-07-26,Bangladesh,,223453,123882,2928
2020-07-27,Bangladesh,,226225,125683,2965
2020-07-28,Bangladesh,,229185,127414,3000
2020-07-29,Bangladesh,,232194,130292,3035
2020-07-30,Bangladesh,,234889,132960,3083
2020-07-31,Bangladesh,,237661,135136,3111
2020-08-01,Bangladesh,,239860,136253,3132
2020-08-02,Bangladesh,,240746,136839,3154
2020-08-03,Bangladesh,,242102,137905,3184
2020-08-04,Bangladesh,,244020,139860,3234
2020-08-05,Bangladesh,,246674,141750,3267
2020-08-06,Bangladesh,,249651,143824,3306
2020-08-07,Bangladesh,,252502,145584,3333
