Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,Bhutan,,0,0,0
2020-01-23,Bhutan,,0,0,0
2020-01-24,Bhutan,,0,0,0
2020-01-25,Bhutan,,0,0,0
2020-01-26,Bhutan,,0,0,0
2020-01-27,Bhutan,,0,0,0
2020-01-28,Bhutan,,0,0,0
2020-01-29,Bhutan,,0,0,0
2020-01-30,Bhutan,,0,0,0
2020-01-31,Bhutan,,0,0,0
2020-02-01,Bhutan,,0,0,0
2020-02-02,Bhutan,,0,0,0
2020-02-03,Bhutan,,0,0,0
2020-02-04,Bhutan,,0,0,0
2020-02-05,Bhutan,,0,0,0
2020-02-06,Bhutan,,0,0,0
2020-02-07,Bhutan,,0,0,0
2020-02-08,Bhutan,,0,0,0
2020-02-09,Bhutan,,0,0,0
2020-02-10,Bhutan,,0,0,0
2020-02-11,Bhutan,,0,0,0
2020-02-12,Bhutan,,0,0,0
2020-02-13,Bhutan,,0,0,0
2020-02-14,Bhutan,,0,0,0
2020-02-15,Bhutan,,0,0,0
2020-02-16,Bhutan,,0,0,0
2020-02-17,Bhutan,,0,0,0
2020-02-18,Bhutan,,0,0,0
2020-02-19,Bhutan,,0,0,0
2020-02-20,Bhutan,,0,0,0
2020-02-21,Bhutan,,0,0,0
2020-02-22,Bhutan,,0,0,0
2020-02-23,Bhutan,,0,0,0
2020-02-24,Bhutan,,0,0,0
2020-02-25,Bhutan,,0,0,0
2020-02-26,Bhutan,,0,0,0
2020-02-27,Bhutan,,0,0,0
2020-02-28,Bhutan,,0,0,0
2020-02-29,Bhutan,,0,0,0
2020-03-01,Bhutan,,0,0,0
2020-03-02,Bhutan,,0,0,0
2020-03-03,Bhutan,,0,0,0
2020-03-04,Bhutan,,0,0,0
2020-03-05,Bhutan,,0,0,0
2020-03-06,Bhutan,,1,0,0
2020-03-07,Bhutan,,1,0,0
2020-03-08,Bhutan,,1,0,0
2020-03-09,Bhutan,,1,0,0
2020-03-10,Bhutan,,1,0,0
2020-03-11,Bhutan,,1,0,0
2020-03-12,Bhutan,,1,0,0
2020-03-13,Bhutan,,1,0,0
2020-03-14,Bhutan,,1,0,0
2020-03-15,Bhutan,,1,0,0
2020-03-16,Bhutan,,1,0,0
2020-03-17,Bhutan,,1,0,0
2020-03-18,Bhutan,,1,0,0
2020-03-19,Bhutan,,1,0,0
2020-03-20,Bhutan,,2,0,0
2020-03-21,Bhutan,,2,0,0
2020-03-22,Bhutan,,2,0,0
2020-03-23,Bhutan,,2,0,0
2020-03-24,Bhutan,,2,0,0
2020-03-25,Bhutan,,2,0,0
2020-03-26,Bhutan,,2,0,0
2020-03-27,Bhutan,,3,0,0
2020-03-28,Bhutan,,3,0,0
2020-03-29,Bhutan,,4,0,0
2020-03-30,Bhutan,,4,0,0
2020-03-31,Bhutan,,4,0,0
2020-04-01,Bhutan,,4,0,0
2020-04-02,Bhutan,,5,1,0
2020-04-03,Bhutan,,5,2,0
2020-04-04,Bhutan,,5,2,0
2020-04-05,Bhutan,,5,2,0
2020-04-06,Bhutan,,5,2,0
2020-04-07,Bhutan,,5,2,0
2020-04-08,Bhutan,,5,2,0
2020-04-09,Bhutan,,5,2,0
2020-04-10,Bhutan,,5,2,0
2020-04-11,Bhutan,,5,2,0
2020-04-12,Bhutan,,5,2,0
2020-04-13,Bhutan,,5,2,0
2020-04-14,Bhutan,,5,2,0
2020-04-15,Bhutan,,5,2,0
2020-04-16,Bhutan,,5,2,0
2020-04-17,Bhutan,,5,2,0
2020-04-18,Bhutan,,5,2,0
2020-04-19,Bhutan,,5,2,0
2020-04-20,Bhutan,,5,2,0
2020-04-21,Bhutan,,6,2,0
2020-04-22,Bhutan,,6,2,0
2020-04-23,Bhutan,,7,3,0
2020-04-24,Bhutan,,7,3,0
2020-04-25,Bhutan,,7,3,0
2020-04-26,Bhutan,,7,4,0
2020-04-27,Bhutan,,7,4,0
2020-04-28,Bhutan,,7,5,0
2020-04-29,Bhutan,,7,5,0
2020-04-30,Bhutan,,7,5,0
2020-05-01,Bhutan,,7,5,0
2020-05-02,Bhutan,,7,5,0
2020-05-03,Bhutan,,7,5,0
2020-05-04,Bhutan,,7,5,0
2020-05-05,Bhutan,,7,5,0
2020-05-06,Bhutan,,7,5,0
2020-05-07,Bhutan,,7,5,0
2020-05-08,Bhutan,,7,5,0
2020-05-09,Bhutan,,7,5,0
2020-05-10,Bhutan,,7,5,0
2020-05-11,Bhutan,,9,5,0
2020-05-12,Bhutan,,11,5,0
2020-05-13,Bhutan,,15,5,0
2020-05-14,Bhutan,,20,5,0
2020-05-15,Bhutan,,21,5,0
2020-05-16,Bhutan,,21,5,0
2020-05-17,Bhutan,,21,5,0
2020-05-18,Bhutan,,21,5,0
2020-05-19,Bhutan,,21,5,0
2020-05-20,Bhutan,,21,5,0
2020-05-21,Bhutan,,21,6,0
2020-05-22,Bhutan,,21,6,0
2020-05-23,Bhutan,,24,6,0
2020-05-24,Bhutan,,24,6,0
2020-05-25,Bhutan,,27,6,0
2020-05-26,Bhutan,,27,6,0
2020-05-27,Bhutan,,28,6,0
2020-05-28,Bhutan,,31,6,0
2020-05-29,Bhutan,,31,6,0
2020-05-30,Bhutan,,33,6,0
2020-05-31,Bhutan,,43,6,0
2020-06-01,Bhutan,,43,6,0
2020-06-02,Bhutan,,47,9,0
2020-06-03,Bhutan,,47,9,0
2020-06-04,Bhutan,,47,9,0
2020-06-05,Bhutan,,48,11,0
2020-06-06,Bhutan,,48,11,0
2020-06-07,Bhutan,,59,11,0
2020-06-08,Bhutan,,59,14,0
2020-06-09,Bhutan,,59,17,0
2020-06-10,Bhutan,,59,18,0
2020-06-11,Bhutan,,62,19,0
2020-06-12,Bhutan,,62,19,0
2020-06-13,Bhutan,,66,21,0
2020-06-14,Bhutan,,66,21,0
2020-06-15,Bhutan,,67,22,0
2020-06-16,Bhutan,,67,24,0
2020-06-17,Bhutan,,67,24,0
2020-06-18,Bhutan,,67,25,0
2020-06-19,Bhutan,,68,28,0
2020-06-20,Bhutan,,68,30,0
2020-06-21,Bhutan,,68,30,0
2020-06-22,Bhutan,,68,32,0
2020-06-23,Bhutan,,70,34,0
2020-06-24,Bhutan,,70,34,0
2020-06-25,Bhutan,,70,34,0
2020-06-26,Bhutan,,70,38,0
2020-06-27,Bhutan,,75,38,0
2020-06-28,Bhutan,,76,38,0
2020-06-29,Bhutan,,77,44,0
2020-06-30,Bhutan,,77,48,0
2020-07-01,Bhutan,,77,50,0
2020-07-02,Bhutan,,77,50,0
2020-07-03,Bhutan,,77,50,0
2020-07-04,Bhutan,,78,51,0
2020-07-05,Bhutan,,80,53,0
2020-07-06,Bhutan,,80,53,0
2020-07-07,Bhutan,,80,55,0
2020-07-08,Bhutan,,80,55,0
2020-07-09,Bhutan,,80,55,0
2020-07-10,Bhutan,,80,55,0
2020-07-11,Bhutan,,82,57,0
2020-07-12,Bhutan,,84,76,0
2020-07-13,Bhutan,,84,76,0
2020-07-14,Bhutan,,84,78,0
2020-07-15,Bhutan,,84,78,0
2020-07-16,Bhutan,,86,78,0
2020-07-17,Bhutan,,87,78,0
2020-07-18,Bhutan,,87,78,0
2020-07-19,Bhutan,,89,82,0
2020-07-20,Bhutan,,90,83,0
2020-07-21,Bhutan,,92,83,0
2020-07-22,Bhutan,,92,83,0
2020-07-23,Bhutan,,92,83,0
2020-07-24,Bhutan,,92,85,0
2020-07-25,Bhutan,,92,85,0
2020-07-26,Bhutan,,95,85,0
2020-07-27,Bhutan,,99,86,0
2020-07-28,Bhutan,,99,86,0
2020-07-29,Bhutan,,99,86,0
2020-07-30,Bhutan,,101,88,0
2020-07-31,Bhutan,,101,89,0
2020-08-01,Bhutan,,102,89,0
2020-08-02,Bhutan,,102,89,0
