Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,Pakistan,,0,0,0
2020-01-23,Pakistan,,0,0,0
2020-01-24,Pakistan,,0,0,0
2020-01-25,Pakistan,,0,0,0
2020-01-26,Pakistan,,0,0,0
2020-01-27,Pakistan,,0,0,0
2020-01-28,Pakistan,,0,0,0
2020-01-29,Pakistan,,0,0,0
2020-01-30,Pakistan,,0,0,0
2020-01-31,Pakistan,,0,0,0
2020-02-01,Pakistan,,0,0,0
2020-02-02,Pakistan,,0,0,0
2020-02-03,Pakistan,,0,0,0
2020-02-04,Pakistan,,0,0,0
2020-02-05,Pakistan,,0,0,0
2020-02-06,Pakistan,,0,0,0
2020-02-07,Pakistan,,0,0,0
2020-02-08,Pakistan,,0,0,0
2020-02-09,Pakistan,,0,0,0
2020-02-10,Pakistan,,0,0,0
2020-02-11,Pakistan,,0,0,0
2020-02-12,Pakistan,,0,0,0
2020-02-13,Pakistan,,0,0,0
2020-02-14,Pakistan,,0,0,0
2020-02-15,Pakistan,,0,0,0
2020-02-16,Pakistan,,0,0,0
2020-02-17,Pakistan,,0,0,0
2020-02-18,Pakistan,,0,0,0
2020-02-19,Pakistan,,0,0,0
2020-02-20,Pakistan,,0,0,0
2020-02-21,Pakistan,,0,0,0
2020-02-22,Pakistan,,0,0,0
2020-02-23,Pakistan,,0,0,0
2020-02-24,Pakistan,,0,0,0
2020-02-25,Pakistan,,2,0,0
2020-02-26,Pakistan,,2,0,0
2020-02-27,Pakistan,,2,0,0
2020-02-28,Pakistan,,4,0,0
2020-02-29,Pakistan,,4,0,0
2020-03-01,Pakistan,,4,0,0
2020-03-02,Pakistan,,5,0,0
2020-03-03,Pakistan,,5,0,0
2020-03-04,Pakistan,,5,0,0
2020-03-05,Pakistan,,6,0,0
2020-03-06,Pakistan,,6,0,0
2020-03-07,Pakistan,,6,1,0
2020-03-08,Pakistan,,6,1,0
2020-03-09,Pakistan,,16,1,0
2020-03-10,Pakistan,,19,2,0
2020-03-11,Pakistan,,20,2,0
2020-03-12,Pakistan,,28,2,0
2020-03-13,Pakistan,,31,2,0
2020-03-14,Pakistan,,53,2,0
2020-03-15,Pakistan,,136,2,0
2020-03-16,Pakistan,,236,2,0
2020-03-17,Pakistan,,299,2,0
2020-03-18,Pakistan,,454,13,2
2020-03-19,Pakistan,,501,13,3
2020-03-20,Pakistan,,730,13,3
2020-03-21,Pakistan,,776,5,5
2020-03-22,Pakistan,,875,5,6
2020-03-23,Pakistan,,972,18,7
2020-03-24,Pakistan,,1063,21,8
2020-03-25,Pakistan,,1201,21,9
2020-03-26,Pakistan,,1373,23,11
2020-03-27,Pakistan,,1495,29,12
2020-03-28,Pakistan,,1597,29,14
2020-03-29,Pakistan,,1717,76,21
