Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-23,Sri Lanka,,0,0,0
2020-01-24,Sri Lanka,,0,0,0
2020-01-25,Sri Lanka,,0,0,0
2020-01-26,Sri Lanka,,0,0,0
2020-01-27,Sri Lanka,,1,0,0
2020-01-28,Sri Lanka,,1,0,0
2020-01-29,Sri Lanka,,1,0,0
2020-01-30,Sri Lanka,,1,0,0
2020-01-31,Sri Lanka,,1,0,0
2020-02-01,Sri Lanka,,1,0,0
2020-02-02,Sri Lanka,,1,0,0
2020-02-03,Sri Lanka,,1,0,0
2020-02-04,Sri Lanka,,1,0,0
2020-02-05,Sri Lanka,,1,0,0
2020-02-06,Sri Lanka,,1,0,0
2020-02-07,Sri Lanka,,1,0,0
2020-02-08,Sri Lanka,,1,1,0
2020-02-09,Sri Lanka,,1,1,0
2020-02-10,Sri Lanka,,1,1,0
2020-02-11,Sri Lanka,,1,1,0
2020-02-12,Sri Lanka,,1,1,0
2020-02-13,Sri Lanka,,1,1,0
2020-02-14,Sri Lanka,,1,1,0
2020-02-15,Sri Lanka,,1,1,0
2020-02-16,Sri Lanka,,1,1,0
2020-02-17,Sri Lanka,,1,1,0
2020-02-18,Sri Lanka,,1,1,0
2020-02-19,Sri Lanka,,1,1,0
2020-02-20,Sri Lanka,,1,1,0
2020-02-21,Sri Lanka,,1,1,0
2020-02-22,Sri Lanka,,1,1,0
2020-02-23,Sri Lanka,,1,1,0
2020-02-24,Sri Lanka,,1,1,0
2020-02-25,Sri Lanka,,1,1,0
2020-02-26,Sri Lanka,,1,1,0
2020-02-27,Sri Lanka,,1,1,0
2020-02-28,Sri Lanka,,1,1,0
2020-02-29,Sri Lanka,,1,1,0
2020-03-01,Sri Lanka,,1,1,0
2020-03-02,Sri Lanka,,1,1,0
2020-03-03,Sri Lanka,,1,1,0
2020-03-04,Sri Lanka,,1,1,0
2020-03-05,Sri Lanka,,1,1,0
2020-03-06,Sri Lanka,,1,1,0
2020-03-07,Sri Lanka,,1,1,0
2020-03-08,Sri Lanka,,1,1,0
2020-03-09,Sri Lanka,,1,1,0
2020-03-10,Sri Lanka,,1,1,0
2020-03-11,Sri Lanka,,2,1,0
2020-03-12,Sri Lanka,,2,1,0
2020-03-13,Sri Lanka,,6,1,0
2020-03-14,Sri Lanka,,10,1,0
2020-03-15,Sri Lanka,,18,1,0
2020-03-16,Sri Lanka,,28,1,0
2020-03-17,Sri Lanka,,44,1,0
2020-03-18,Sri Lanka,,51,1,0
2020-03-19,Sri Lanka,,60,3,0
2020-03-20,Sri Lanka,,73,3,0
2020-03-21,Sri Lanka,,77,1,0
2020-03-22,Sri Lanka,,82,3,0
2020-03-23,Sri Lanka,,97,3,0
2020-03-24,Sri Lanka,,102,2,0
2020-03-25,Sri Lanka,,102,3,0
2020-03-26,Sri Lanka,,106,7,0
2020-03-27,Sri Lanka,,106,7,0
2020-03-28,Sri Lanka,,113,9,1
2020-03-29,Sri Lanka,,117,11,1
2020-03-30,Sri Lanka,,122,15,2
2020-03-31,Sri Lanka,,143,17,2
2020-04-01,Sri Lanka,,146,21,3
2020-04-02,Sri Lanka,,151,21,4
2020-04-03,Sri Lanka,,159,24,4
2020-04-04,Sri Lanka,,166,27,5
2020-04-05,Sri Lanka,,176,33,5
2020-04-06,Sri Lanka,,178,38,5
2020-04-07,Sri Lanka,,185,42,6
2020-04-08,Sri Lanka,,189,44,7
2020-04-09,Sri Lanka,,190,49,7
2020-04-10,Sri Lanka,,190,54,7
2020-04-11,Sri Lanka,,198,54,7
2020-04-12,Sri Lanka,,210,56,7
2020-04-13,Sri Lanka,,217,56,7
2020-04-14,Sri Lanka,,233,61,7
2020-04-15,Sri Lanka,,238,63,7
2020-04-16,Sri Lanka,,238,68,7
2020-04-17,Sri Lanka,,244,77,7
2020-04-18,Sri Lanka,,254,86,7
2020-04-19,Sri Lanka,,271,96,7
2020-04-20,Sri Lanka,,304,98,7
2020-04-21,Sri Lanka,,310,102,7
2020-04-22,Sri Lanka,,330,105,7
2020-04-23,Sri Lanka,,368,107,7
2020-04-24,Sri Lanka,,420,109,7
2020-04-25,Sri Lanka,,460,118,7
2020-04-26,Sri Lanka,,523,120,7
2020-04-27,Sri Lanka,,588,126,7
2020-04-28,Sri Lanka,,619,134,7
2020-04-29,Sri Lanka,,649,136,7
2020-04-30,Sri Lanka,,663,154,7
2020-05-01,Sri Lanka,,690,162,7
2020-05-02,Sri Lanka,,705,172,7
2020-05-03,Sri Lanka,,718,184,7
2020-05-04,Sri Lanka,,751,194,8
2020-05-05,Sri Lanka,,771,213,9
2020-05-06,Sri Lanka,,797,215,9
2020-05-07,Sri Lanka,,824,232,9
2020-05-08,Sri Lanka,,835,240,9
2020-05-09,Sri Lanka,,847,260,9
2020-05-10,Sri Lanka,,863,321,9
2020-05-11,Sri Lanka,,869,343,9
2020-05-12,Sri Lanka,,889,366,9
2020-05-13,Sri Lanka,,915,382,9
2020-05-14,Sri Lanka,,925,445,9
2020-05-15,Sri Lanka,,935,477,9
2020-05-16,Sri Lanka,,960,520,9
2020-05-17,Sri Lanka,,981,538,9
2020-05-18,Sri Lanka,,992,559,9
2020-05-19,Sri Lanka,,1027,569,9
2020-05-20,Sri Lanka,,1028,584,9
2020-05-21,Sri Lanka,,1055,604,9
2020-05-22,Sri Lanka,,1068,620,9
2020-05-23,Sri Lanka,,1089,660,9
2020-05-24,Sri Lanka,,1141,674,9
2020-05-25,Sri Lanka,,1182,695,10
2020-05-26,Sri Lanka,,1319,712,10
2020-05-27,Sri Lanka,,1469,732,10
2020-05-28,Sri Lanka,,1530,745,10
2020-05-29,Sri Lanka,,1558,754,10
2020-05-30,Sri Lanka,,1620,781,10
2020-05-31,Sri Lanka,,1633,801,10
2020-06-01,Sri Lanka,,1643,811,11
2020-06-02,Sri Lanka,,1683,823,11
2020-06-03,Sri Lanka,,1749,836,11
2020-06-04,Sri Lanka,,1797,839,11
2020-06-05,Sri Lanka,,1801,858,11
2020-06-06,Sri Lanka,,1814,891,11
2020-06-07,Sri Lanka,,1835,941,11
2020-06-08,Sri Lanka,,1857,990,11
2020-06-09,Sri Lanka,,1859,1057,11
2020-06-10,Sri Lanka,,1869,1122,11
2020-06-11,Sri Lanka,,1877,1150,11
2020-06-12,Sri Lanka,,1880,1196,11
2020-06-13,Sri Lanka,,1884,1252,11
2020-06-14,Sri Lanka,,1889,1287,11
2020-06-15,Sri Lanka,,1905,1342,11
2020-06-16,Sri Lanka,,1915,1371,11
2020-06-17,Sri Lanka,,1924,1397,11
2020-06-18,Sri Lanka,,1947,1421,11
2020-06-19,Sri Lanka,,1950,1446,11
2020-06-20,Sri Lanka,,1950,1472,11
2020-06-21,Sri Lanka,,1950,1498,11
2020-06-22,Sri Lanka,,1951,1526,11
2020-06-23,Sri Lanka,,1991,1548,11
2020-06-24,Sri Lanka,,2001,1562,11
2020-06-25,Sri Lanka,,2010,1602,11
2020-06-26,Sri Lanka,,2014,1619,11
2020-06-27,Sri Lanka,,2033,1639,11
2020-06-28,Sri Lanka,,2037,1661,11
2020-06-29,Sri Lanka,,2039,1678,11
