Date,Afghanistan,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Srilanka
2020-01-22,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,1,0,0
2020-01-26,0,0,0,0,0,1,0,0
2020-01-27,0,0,0,0,0,1,0,1
2020-01-28,0,0,0,0,0,1,0,1
2020-01-29,0,0,0,0,0,1,0,1
2020-01-30,0,0,0,1,0,1,0,1
2020-01-31,0,0,0,1,0,1,0,1
2020-02-01,0,0,0,1,0,1,0,1
2020-02-02,0,0,0,2,0,1,0,1
2020-02-03,0,0,0,3,0,1,0,1
2020-02-04,0,0,0,3,0,1,0,1
2020-02-05,0,0,0,3,0,1,0,1
2020-02-06,0,0,0,3,0,1,0,1
2020-02-07,0,0,0,3,0,1,0,1
2020-02-08,0,0,0,3,0,1,0,1
2020-02-09,0,0,0,3,0,1,0,1
2020-02-10,0,0,0,3,0,1,0,1
2020-02-11,0,0,0,3,0,1,0,1
2020-02-12,0,0,0,3,0,1,0,1
2020-02-13,0,0,0,3,0,1,0,1
2020-02-14,0,0,0,3,0,1,0,1
2020-02-15,0,0,0,3,0,1,0,1
2020-02-16,0,0,0,3,0,1,0,1
2020-02-17,0,0,0,3,0,1,0,1
2020-02-18,0,0,0,3,0,1,0,1
2020-02-19,0,0,0,3,0,1,0,1
2020-02-20,0,0,0,3,0,1,0,1
2020-02-21,0,0,0,3,0,1,0,1
2020-02-22,0,0,0,3,0,1,0,1
2020-02-23,0,0,0,3,0,1,0,1
2020-02-24,5,0,0,3,0,1,0,1
2020-02-25,5,0,0,3,0,1,2,1
2020-02-26,5,0,0,3,0,1,2,1
2020-02-27,5,0,0,3,0,1,2,1
2020-02-28,5,0,0,3,0,1,4,1
2020-02-29,5,0,0,3,0,1,4,1
2020-03-01,5,0,0,3,0,1,4,1
2020-03-02,5,0,0,5,0,1,5,1
2020-03-03,5,0,0,5,0,1,5,1
2020-03-04,5,0,0,28,0,1,5,1
2020-03-05,5,0,0,30,0,1,6,1
2020-03-06,5,0,1,31,0,1,6,1
2020-03-07,8,0,1,34,0,1,6,1
2020-03-08,8,3,1,39,4,1,6,1
2020-03-09,8,3,1,43,4,1,16,1
2020-03-10,8,3,1,56,6,1,19,1
2020-03-11,11,3,1,62,8,1,20,2
2020-03-12,11,3,1,73,8,1,28,2
2020-03-13,11,3,1,82,9,1,31,6
2020-03-14,14,3,1,102,10,1,53,10
2020-03-15,20,5,1,113,13,1,136,18
2020-03-16,25,8,1,119,13,1,236,28
2020-03-17,26,10,1,142,13,1,299,44
2020-03-18,26,14,1,156,13,1,454,51
2020-03-19,26,17,1,194,13,1,501,60
2020-03-20,24,20,2,244,13,1,730,73
2020-03-21,24,25,2,330,13,1,776,77
2020-03-22,34,27,2,396,13,1,875,82
2020-03-23,40,33,2,499,13,2,972,97
2020-03-24,42,39,2,536,13,2,1063,102
2020-03-25,74,39,2,657,13,3,1201,102
2020-03-26,80,44,2,727,13,3,1373,106
2020-03-27,91,48,3,887,16,4,1495,106
2020-03-28,106,48,3,987,16,5,1597,113
2020-03-29,114,48,4,1024,17,5,1717,117
2020-03-30,114,49,4,1251,17,5,1938,122
2020-03-31,166,51,4,1397,18,5,2118,143
2020-04-01,192,54,4,1998,19,5,2421,146
2020-04-02,235,56,5,2543,19,6,2686,151
2020-04-03,269,61,5,2567,19,6,2818,159
2020-04-04,270,70,5,3082,19,9,3157,166
2020-04-05,299,88,5,3588,19,9,3766,176
2020-04-06,337,123,5,4778,19,9,4035,178
2020-04-07,367,164,5,5311,19,9,4263,185
2020-04-08,423,218,5,5916,19,9,4489,189
2020-04-09,444,330,5,6725,19,9,4695,190
2020-04-10,521,424,5,7598,19,9,5011,190
2020-04-11,521,482,5,8446,19,9,5230,198
2020-04-12,555,621,5,9205,20,12,5496,210
2020-04-13,607,803,5,10453,20,14,5837,217
2020-04-14,665,1012,5,11487,20,16,6383,233
2020-04-15,770,1231,5,12322,22,16,6919,238
2020-04-16,794,1572,5,13430,25,16,7025,238
2020-04-17,845,1838,5,14352,28,30,7638,244
2020-04-18,908,2144,5,15722,35,31,8348,254
2020-04-19,933,2456,5,17615,52,31,8418,271
2020-04-20,996,2948,5,18539,69,31,9565,304
2020-04-21,1026,3382,6,20080,83,43,10076,310
2020-04-22,1092,3772,6,21370,86,45,11155,330
2020-04-23,1176,4186,7,23077,108,48,11940,368
2020-04-24,1226,4689,7,24530,129,49,12723,420
2020-04-25,1330,4998,7,26283,177,49,13328,460
2020-04-26,1463,5416,7,27890,214,52,13915,523
2020-04-27,1531,5913,7,29451,226,52,14612,588
2020-04-28,1703,6462,7,31324,250,54,15525,619
2020-04-29,1827,7103,7,33062,278,57,16817,649
2020-04-30,1827,7667,7,34863,468,57,18114,663
2020-05-01,2171,8238,7,37257,491,59,19103,690
2020-05-02,2469,8790,7,39699,519,59,20084,705
2020-05-03,2469,9455,7,42505,527,75,20941,718
2020-05-04,2469,10143,7,46437,541,75,22049,751
2020-05-05,2469,10929,7,49400,573,82,24073,771
2020-05-06,3224,11719,7,52987,617,99,24644,797
2020-05-07,3392,12425,7,56351,648,101,26435,824
2020-05-08,3563,13134,7,59695,744,102,28736,835
2020-05-09,3563,13770,7,62808,790,110,30334,847
2020-05-10,4402,14657,7,67161,835,110,32081,863
2020-05-11,4664,15691,9,70768,897,134,34336,869
2020-05-12,4967,16660,11,74292,904,217,35298,889
2020-05-13,4967,17822,15,78055,955,250,35788,915
2020-05-14,5339,18863,20,81997,982,249,38799,925
2020-05-15,6053,20065,21,85784,1031,267,38799,935
2020-05-16,6402,20995,21,90648,1078,291,40151,960
2020-05-17,6635,22268,21,95698,1094,295,42125,981
2020-05-18,7072,23870,21,100328,1106,375,43966,992
2020-05-19,7655,25121,21,106475,1143,402,45898,1027
2020-05-20,8145,26738,21,112028,1186,427,48091,1028
2020-05-21,8676,28511,21,118226,1216,457,50694,1055
2020-05-22,9216,30205,21,124794,1274,516,52437,1068
2020-05-23,9952,32078,24,131423,1313,584,54601,1089
2020-05-24,10668,33610,24,138536,1371,603,56349,1141
2020-05-25,11180,35585,27,144950,1395,682,57705,1182
2020-05-26,11917,36751,27,150793,1438,772,59151,1319
2020-05-27,12465,38292,28,158086,1457,886,61227,1469
2020-05-28,13102,40321,31,165386,1513,1042,64028,1530
2020-05-29,13745,42844,31,173491,1591,1212,66457,1558
2020-05-30,14529,44608,33,181827,1672,1401,69496,1620
2020-05-31,15180,47153,43,190609,1773,1572,72460,1633
2020-06-01,15836,49534,43,198370,1829,1811,76398,1643
2020-06-02,16578,52445,47,207191,1841,2099,80463,1683
2020-06-03,17353,55140,47,216824,1850,2300,85264,1749
2020-06-04,17977,57563,47,226713,1872,2634,89249,1797
2020-06-05,19055,60391,48,236184,1883,2912,93983,1801
2020-06-06,19637,63026,48,246622,1901,3235,98943,1814
2020-06-07,20428,65769,59,257486,1903,3448,103671,1835
2020-06-08,21003,68504,59,265928,1916,3762,108317,1857
2020-06-09,21308,71675,59,276146,1942,4086,113702,1859
