Date,Afghanistan,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Srilanka
2020-01-22,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,1,0,0,0,0
2020-03-12,0,0,0,1,0,0,0,0
2020-03-13,0,0,0,2,0,0,0,0
2020-03-14,0,0,0,2,0,0,0,0
2020-03-15,0,0,0,2,0,0,0,0
2020-03-16,0,0,0,2,0,0,0,0
2020-03-17,0,0,0,3,0,0,0,0
2020-03-18,0,1,0,3,0,0,2,0
2020-03-19,0,1,0,4,0,0,3,0
2020-03-20,0,1,0,5,0,0,3,0
2020-03-21,0,2,0,4,0,0,5,0
2020-03-22,0,2,0,7,0,0,6,0
2020-03-23,1,3,0,10,0,0,7,0
2020-03-24,1,4,0,10,0,0,8,0
2020-03-25,1,5,0,12,0,0,9,0
2020-03-26,2,5,0,20,0,0,11,0
2020-03-27,2,5,0,20,0,0,12,1
2020-03-28,2,5,0,24,0,0,14,1
2020-03-29,4,5,0,27,0,0,21,2
2020-03-30,4,5,0,32,0,0,26,2
2020-03-31,4,5,0,35,0,0,27,3
2020-04-01,4,6,0,58,0,0,34,4
2020-04-02,4,6,0,72,0,0,40,4
2020-04-03,5,6,0,72,0,0,41,5
2020-04-04,5,8,0,86,0,0,47,5
2020-04-05,7,9,0,99,0,0,53,5
2020-04-06,7,12,0,136,0,0,57,6
2020-04-07,11,17,0,150,0,0,61,7
2020-04-08,14,20,0,178,0,0,65,7
2020-04-09,15,21,0,226,0,0,66,7
2020-04-10,15,27,0,246,0,0,86,7
2020-04-11,15,30,0,288,0,0,91,7
2020-04-12,18,34,0,331,0,0,93,7
2020-04-13,19,39,0,358,0,0,96,7
2020-04-14,22,46,0,393,0,0,111,7
2020-04-15,25,50,0,405,0,0,128,7
2020-04-16,29,60,0,448,0,0,135,7
2020-04-17,30,75,0,486,0,0,143,7
2020-04-18,30,84,0,521,0,0,168,7
2020-04-19,30,91,0,559,0,0,176,7
2020-04-20,33,101,0,592,0,0,201,7
2020-04-21,36,110,0,645,0,0,212,7
2020-04-22,36,120,0,681,0,0,237,7
2020-04-23,40,127,0,721,0,0,253,7
2020-04-24,40,131,0,780,0,0,269,7
2020-04-25,43,140,0,825,0,0,281,7
2020-04-26,49,145,0,881,0,0,292,7
2020-04-27,50,152,0,939,0,0,312,7
2020-04-28,60,155,0,1008,0,0,343,7
2020-04-29,60,163,0,1079,1,0,385,7
2020-04-30,60,168,0,1154,1,0,417,7
2020-05-01,64,170,0,1223,1,0,440,7
2020-05-02,72,175,0,1323,1,0,457,7
2020-05-03,72,177,0,1391,1,0,476,8
2020-05-04,72,182,0,1566,1,0,514,9
2020-05-05,72,183,0,1693,2,0,564,9
2020-05-06,95,186,0,1785,2,0,585,9
2020-05-07,104,199,0,1889,3,0,599,9
2020-05-08,105,206,0,1985,3,0,636,9
2020-05-09,105,214,0,2101,3,0,659,9
2020-05-10,119,228,0,2212,3,0,706,9
2020-05-11,120,239,0,2294,3,0,737,9
2020-05-12,127,250,0,2415,3,0,761,9
2020-05-13,127,269,0,2551,4,0,770,9
2020-05-14,136,283,0,2649,4,0,834,9
2020-05-15,153,298,0,2753,4,0,834,9
2020-05-16,168,314,0,2871,4,1,873,9
2020-05-17,169,328,0,3025,4,2,903,9
2020-05-18,173,349,0,3156,4,2,939,9
2020-05-19,177,370,0,3302,4,2,985,9
2020-05-20,187,386,0,3434,4,2,1017,9
2020-05-21,193,408,0,3584,4,3,1067,9
2020-05-22,205,432,0,3726,4,3,1101,9
2020-05-23,215,452,0,3868,4,3,1133,9
2020-05-24,222,480,0,4024,4,3,1167,10
2020-05-25,223,501,0,4172,4,4,1197,10
2020-05-26,224,522,0,4344,5,4,1225,10
2020-05-27,230,544,0,4534,5,4,1260,10
2020-05-28,239,559,0,4711,5,5,1317,10
2020-05-29,250,582,0,4980,5,6,1395,10
2020-05-30,252,610,0,5185,5,6,1483,10
2020-05-31,254,650,0,5408,5,8,1543,11
2020-06-01,269,672,0,5608,6,8,1621,11
2020-06-02,274,709,0,5829,7,8,1688,11
2020-06-03,298,746,0,6088,7,9,1770,11
2020-06-04,303,781,0,6363,7,10,1838,11
2020-06-05,313,811,0,6649,7,11,1935,11
2020-06-06,331,846,0,6946,8,13,2002,11
2020-06-07,361,888,0,7207,8,13,2067,11
2020-06-08,373,930,0,7473,8,14,2172,11
2020-06-09,380,975,0,7750,8,15,2255,11
2020-06-10,409,1012,0,8102,8,15,2356,11
2020-06-11,430,1049,0,8498,8,15,2463,11
2020-06-12,450,1095,0,8884,8,16,2463,11
2020-06-13,455,1139,0,9195,8,18,2551,11
2020-06-14,475,1171,0,9520,8,19,2729,11
2020-06-15,480,1209,0,9900,8,19,2839,11
2020-06-16,488,1262,0,11903,8,19,2975,11
2020-06-17,508,1305,0,12237,8,20,3093,11
2020-06-18,550,1343,0,12573,8,22,3229,11
2020-06-19,552,1388,0,12948,8,22,3382,11
